fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220528 224322	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	580	TRUE	999983	0.0101178640154818	0.481307912328362	6918	675	0.0161341056058671	13295000	99
20220528 224329	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	21	TRUE	999983	0.196874335596748	0.73400493176971	7994	702	0.0165797147903625	13263000	100
20220528 224512	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	672	TRUE	999983	0.0100313081460849	0.993505706308342	2044	588	0.0165808732582203	13505000	101
20220528 224651	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	660	TRUE	999983	0.0100496625173837	0.624897114706843	3890	544	0.0162562640258509	13565000	102
20220528 224719	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	236	TRUE	999983	0.028546240828754	0.73572268321317	7996	1021	0.0167061395094784	13279000	103
20220528 224752	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	343	TRUE	999983	0.0406400529970926	0.746220030293753	6095	1024	0.0227560771179014	12636000	104
20220528 224926	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	361	TRUE	999983	0.0100321250223619	0.77107553621559	2123	904	0.0163156058952554	13578000	105
20220528 225036	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	438	TRUE	999983	0.0122979182597573	0.200018408077206	6076	627	0.0177111033863282	13324000	106
20220528 225108	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	129	TRUE	999983	0.0452296767162032	0.477655675145355	2381	626	0.0160501953826511	13519000	107
20220528 225116	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	20	TRUE	999983	0.241697345864678	0.968621562822372	8000	1024	0.0179717634203723	12554000	108
20220528 225127	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	45	TRUE	999983	0.166869178665598	0.200127038237928	6282	129	0.0183392530943042	12742000	109
20220528 225135	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	22	TRUE	999983	0.299861738959661	0.710790488682057	7997	121	0.0176867585231557	13027000	110
20220528 225220	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	223	TRUE	999983	0.018736426670619	0.715712862746208	4069	87	0.0167926880787137	13300000	111
20220528 225233	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	19	TRUE	999983	0.193632809477741	0.932904425821745	6295	207	0.0187214310728434	12815000	112
20220528 225244	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	28	TRUE	999983	0.280558385580261	0.468747395187011	7996	600	0.014613610710542	12878000	113
20220528 225301	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	52	TRUE	999983	0.058157282970119	0.998849256269416	1709	44	0.0156404658213021	13255000	114
20220528 225325	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	137	TRUE	999983	0.0501818796166686	0.893235034791921	2954	250	0.0170632163725239	13140000	115
20220528 225507	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	473	TRUE	999983	0.0100567212179054	0.364771940580466	1966	179	0.0154441088466618	13925000	116
20220528 225516	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	12	TRUE	999983	0.29982568147916	0.522575415388494	1524	19	0.00839346694025683	11338000	117
20220528 225525	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	27	TRUE	999983	0.230583022651436	0.718168641563743	7220	386	0.0160720014320244	12763000	118
20220528 225609	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	282	TRUE	999983	0.0318113461307863	0.404141677715698	6620	36	0.0175206863157519	13403000	119
20220528 225736	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	441	TRUE	999983	0.0101871863079057	0.277418677740343	2822	1020	0.015457769004172	13370000	120
