max_depth	min_split	min_bucket	cp	ganancia_promedio
12	1000	12	-0.5	9399333
12	1000	15	-0.5	9356667
12	1000	20	-0.5	9122000
12	800	1	-0.5	9448000
12	800	3	-0.5	9775333
12	800	5	-0.5	10068667
12	800	8	-0.5	10055333
12	800	10	-0.5	9808000
12	800	12	-0.5	9560000
12	800	15	-0.5	9372000
12	800	20	-0.5	9150667
12	600	1	-0.5	9388667
12	600	3	-0.5	9560667
12	600	5	-0.5	9900667
12	600	8	-0.5	9687333
12	600	10	-0.5	9786667
12	600	12	-0.5	9390667
12	600	15	-0.5	9260667
12	600	20	-0.5	8861333
12	400	1	-0.5	9232000
12	400	3	-0.5	9610667
12	400	5	-0.5	9605333
12	400	8	-0.5	9387333
12	400	10	-0.5	9640000
12	400	12	-0.5	8958667
12	400	15	-0.5	8624667
12	400	20	-0.5	8221333
12	200	1	-0.5	9143333
12	200	3	-0.5	9562000
12	200	5	-0.5	9446667
12	200	8	-0.5	9244667
12	200	10	-0.5	8974000
12	200	12	-0.5	8714000
12	200	15	-0.5	8488667
12	200	20	-0.5	8259333
12	100	1	-0.5	9033333
12	100	3	-0.5	9457333
12	100	5	-0.5	9466000
12	100	8	-0.5	9195333
12	100	10	-0.5	8853333
12	100	12	-0.5	8721333
12	100	15	-0.5	8380667
12	100	20	-0.5	7896667
12	50	1	-0.5	8983333
12	50	3	-0.5	9293333
12	50	5	-0.5	9226667
12	50	8	-0.5	8680000
12	50	10	-0.5	8414667
12	50	12	-0.5	8290000
12	50	15	-0.5	8364667
12	50	20	-0.5	7746667
12	20	1	-0.5	8932667
