Feature	Gain	Cover	Frequency
mextraccion_autoservicio	0.0024523488342142	0.00904848090732577	0.0137405071437765
cpagomiscuentas	0.00229785368448077	0.00548131455540361	0.0047625176985455
Master_mpagominimo	0.00226274075206711	0.00232289743312551	0.00360406744754795
thomebanking	0.0022255219981598	0.00210136834836904	0.00186639207105162
ccuenta_debitos_automaticos	0.00217415898990859	0.00381030615915549	0.00524520530312782
mplazo_fijo_dolares	0.00188735423695385	0.0107790500952938	0.00241343802291157
ctarjeta_debito	0.00179929357398099	0.00349510651317713	0.00296048397477153
Visa_mconsumosdolares	0.00175362843723247	0.00261165168038748	0.00347535075299266
ccallcenter_trx	0.00169562280615503	0.00758082250501218	0.00279958810657742
cmobile_app_trx	0.00168030488246051	0.000606270170840595	0.00141588364010812
catm_trx	0.00163746563226055	0.00423195130122242	0.00382932166301969
mtarjeta_master_consumo	0.00162236439143186	0.00408281695649459	0.00328227571115974
Master_fultimo_cierre	0.00150568227803206	0.00220552854891442	0.00328227571115974
matm	0.00140377693441957	0.00381248965651115	0.00656455142231947
Master_mconsumospesos	0.00137989199259122	0.00309118458309235	0.00408675505213026
ctarjeta_visa_debitos_automaticos	0.00122562057214793	0.00206945240357508	0.00244561719655039
mtarjeta_visa_descuentos	0.00121763971921714	0.00987224511882301	0.00444072596215729
cseguro_accidentes_personales	0.00109663594484624	0.0027431129745589	0.00160895868194105
Visa_mpagosdolares	0.00105165500481372	0.00273025689620941	0.00167331702921869
tcallcenter	0.0010467433494001	0.0022234347025669	0.00119062942463638
tpaquete7	0.000985573158727152	0.00693601065517203	0.000965375209164629
Visa_fultimo_cierre	0.000920972893080584	0.00173580810628557	0.00244561719655039
cextraccion_autoservicio	0.000897927966148334	0.00368901288104841	0.00621058051229244
cplazo_fijo	0.000789876624051094	0.00398823611292916	0.000804479340970524
Master_mconsumototal	0.000755305901015187	0.00172171127031708	0.00250997554382803
Master_cconsumos	0.000641401984853668	0.00154241663069613	0.00115845025099755
Visa_Finiciomora	0.000543697082171546	0.00184701598714717	0.000450508430943493
Visa_delinquency	0.000526529210322885	0.00182837216546912	0.000579225125498777
Master_mpagosdolares	0.000489323410404636	0.000773093794821401	0.000772300167331703
ctarjeta_visa_descuentos	0.000391748387903457	0.00556086172460809	0.00267087141202214
ctarjeta_master_trx	0.000389612224397846	0.000494060536800285	0.00131934611919166
Visa_msaldodolares	0.000349391212036047	0.000653829103784617	0.000547045951859956
ccajas_trx	0.000330679578423683	0.000622233306913753	0.000579225125498777
Master_mconsumosdolares	0.000308760279253531	0.000827164861095082	0.00151242116102459
ccajas_consultas	0.000301574899181404	0.00263068794145513	0.000450508430943493
tpaquete9	0.000224854096886197	0.0019973365020601	0.00032179173638821
cseguro_vida	0.000219512907557391	0.000800189816736338	0.000482687604582314
mttarjeta_master_debitos_automaticos	0.000196933546273719	0.000369605613535648	0.000482687604582314
Master_mpagado	0.000155886836476331	0.000592297263100403	0.000482687604582314
minversion2	0.000151574092336546	0.00178616575171857	0.000257433389110568
mdescubierto_preacordado	0.000119973729306421	0.000131098361502847	0.000160895868194105
Visa_madelantopesos	0.000111769341268139	0.00011584633740633	0.000353970910027031
ctarjeta_master_debitos_automaticos	0.000106501044924435	0.00069720103301555	0.000225254215471747
ctarjeta_master	0.000101828099767738	0.00035759490274345	0.000160895868194105
Master_madelantodolares	9.94906983766053e-05	5.97481593984052e-05	0.000160895868194105
mcheques_depositados	8.87878487753073e-05	0.000455183956517126	0.000160895868194105
Master_msaldodolares	8.07549397094094e-05	4.02692975154198e-05	6.43583472776419e-05
mcheques_emitidos	7.74548078824691e-05	0.00047030172503299	6.43583472776419e-05
matm_other	6.38261842219561e-05	0.000484007596947928	0.000740120993692882
cseguro_vivienda	6.00854088944484e-05	0.000176442815034132	0.000160895868194105
minversion1_pesos	5.98262542997777e-05	0.000685907335544198	9.65375209164629e-05
Visa_cadelantosefectivo	4.74452775708308e-05	1.63644274790634e-05	3.2179173638821e-05
Master_status	4.38953193309525e-05	2.57239593873918e-05	9.65375209164629e-05
Visa_madelantodolares	4.08847448453097e-05	0.000160956212505487	0.000257433389110568
mcaja_ahorro_adicional	3.28297761047818e-05	0.000268070035825217	6.43583472776419e-05
Master_madelantopesos	2.85630039633988e-05	0.000180082469072254	0.00032179173638821
mforex_sell	1.97958914125595e-05	0.00020884562072496	0.000289612562749389
internet	1.78203211806458e-05	3.31389983803392e-05	3.2179173638821e-05
Visa_status	1.67693742186303e-05	8.88078535973875e-05	9.65375209164629e-05
catm_trx_other	1.04854095769828e-05	0.000174780111304515	0.000418329257304672
cforex_sell	9.73141375546194e-06	0.000109064217579315	0.000160895868194105
cforex	7.99688350660844e-06	0.000201558935968461	0.000289612562749389
ctarjeta_visa	6.61576520355756e-06	4.21060908990687e-05	6.43583472776419e-05
Master_delinquency	6.03400319843336e-06	7.92993127478957e-06	3.2179173638821e-05
mcajeros_propios_descuentos	1.5477026755835e-06	8.46518319413722e-05	6.43583472776419e-05
Master_cadelantosefectivo	3.15777432262142e-12	1.63334454219898e-05	6.43583472776419e-05
ccajeros_propios_descuentos	5.91957417097026e-13	0.00018288708290544	0.000225254215471747
