fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220530 132444	0	0	0	1	auto	depthwise	256	0	1	0.0100653210959203	0.43382760387063	10	6	0.0122470936974369	208	13223000	89
20220528 230303	0	0	0	1	auto	depthwise	256	0	1	0.0128551089403918	0.626109100561589	7	12	0.0132848708415016	185	13191000	10
20220530 032421	0	0	0	1	auto	depthwise	256	0	1	0.0101687929786793	0.221701576198449	5	10	0.013330126573109	304	13177000	63
20220529 004630	0	0	0	1	auto	depthwise	256	0	1	0.0206659591699411	0.294403794204388	8	7	0.0160515560150364	162	13165000	24
20220530 042339	0	0	0	1	auto	depthwise	256	0	1	0.0279475823944142	0.200890153147264	4	3	0.0180027733064617	706	13130000	66
20220530 131055	0	0	0	1	auto	depthwise	256	0	1	0.0100051741040606	0.479711850456055	7	11	0.0146770886469383	174	13125000	88
20220530 030855	0	0	0	1	auto	depthwise	256	0	1	0.0100432451310498	0.652278680102064	6	30	0.0110851048579449	175	13115000	61
20220529 034343	0	0	0	1	auto	depthwise	256	0	1	0.0120590075371854	0.205893132484397	7	30	0.0131755699005037	420	13113000	34
20220529 001731	0	0	0	1	auto	depthwise	256	0	1	0.0705075357590963	0.527011505393819	8	2	0.0131914009789071	248	13100000	21
20220529 143923	0	0	0	1	auto	depthwise	256	0	1	0.0105217191263786	0.200421715021262	6	17	0.0135772514005822	344	13082000	50
20220530 082119	0	0	0	1	auto	depthwise	256	0	1	0.217569053702684	0.200089724029183	8	2	0.0158807579975983	52	13072000	82
20220529 051608	0	0	0	1	auto	depthwise	256	0	1	0.0101060622100644	0.996195475865244	10	30	0.0131364555604492	178	13068000	36
20220530 062320	0	0	0	1	auto	depthwise	256	0	1	0.0489352952035265	0.470230035750591	4	3	0.0119077067076396	249	13066000	73
20220529 024857	0	0	0	1	auto	depthwise	256	0	1	0.0511313539178912	0.675456493792147	10	12	0.0139530483680829	76	13046000	31
20220529 152008	0	0	0	1	auto	depthwise	256	0	1	0.066943747543033	0.200054437215731	3	2	0.0137012622128892	206	13017000	52
20220529 005037	0	0	0	1	auto	depthwise	256	0	1	0.0523350193782253	0.200517719265292	7	2	0.0198887195215473	294	13016000	26
20220529 215328	0	0	0	1	auto	depthwise	256	0	1	0.0104643410540108	0.200323167921006	10	2	0.0172640639634867	577	12992000	56
20220529 142159	0	0	0	1	auto	depthwise	256	0	1	0.0103318238372686	0.229926740939188	10	30	0.0121675062956901	462	12973000	49
20220530 134247	0	0	0	1	auto	depthwise	256	0	1	0.0127705330096858	0.71845977937557	6	6	0.0123293321092504	200	12967000	90
20220529 003916	0	0	0	1	auto	depthwise	256	0	1	0.0100343995525513	0.618136375622965	6	2	0.0159805771942441	1400	12955000	23
20220530 044535	0	0	0	1	auto	depthwise	256	0	1	0.0106395166884908	0.962323160099417	4	2	0.0123661916647937	1103	12905000	67
20220530 142425	0	0	0	1	auto	depthwise	256	0	1	0.0103811929293176	0.445258631105829	7	30	0.0117252377621063	265	12885000	92
